,apartment_type,price,location,link_to_property,contacts
95,4 bedroom detached duplex for sale,"₦130,000,000","Ajah, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2296177-4bedroom-fully-detached-duplex,07067253106
96,4 bedroom house for sale,"₦80,000,000","Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/2296176-4-bedroom-terraced-duplex,09169112315
97,4 bedroom semi-detached duplex for sale,"₦140,000,000","Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/2296175-4-bedroom-semi-detached-duplex,09169112315
98,5 bedroom detached duplex for sale,"₦180,000,000","Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2296172-5-bedroom-fully-detached-duplex,09169112315
99,4 bedroom house for sale,"₦95,000,000","Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/ajah/2296167-4-bedroom-semi-detached-duplex,09169112315
100,4 bedroom house for sale,"₦125,000,000","Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/2296163-4-bedroom-semi-detached-duplex,09169112315
101,4 bedroom semi-detached duplex for sale,"₦130,000,000","Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/2296161-4-bedroom-semi-detached-duplex,09169112315
102,4 bedroom terraced duplex for sale,"₦90,000,000","Orchid Road, Arapagi Oloko, Ibeju Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki-ibeju/arapagi-oloko/2296160-4-bedroom-terraced-duplex,09169112315
103,4 bedroom detached duplex for sale,"₦1,600,000,000","Banana Island, Ikoyi, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/banana-island/2296124-massive-4-bedroom-detached-duplex-on-3-floors-with-swimming-pool,07062706205
104,5 bedroom detached duplex for sale,"₦150,000,000","Abraham Adesanya, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2296130-brand-new-4-bedroom-detached-duplex-in-a-secured-estate,09036860754
